"diet" "sugar" "energy"
"1" 45 -3.92136814231879 -2.0005395340243
"2" 194 2.06433592348303 -0.161132423648965
"3" 124 -1.12069580198725 -1.84480369410382
"4" 112 1.34470101903213 1.14995727932922
"5" 38 1.00725659914779 1.44791729106737
"6" 33 -0.164502342788619 5.66936355886149
"7" 17 -1.66638698089272 -0.222347749958232
"8" 114 1.15541849552306 3.47018888092525
"9" 138 -1.52618890246793 0.312767893611981
"10" 90 -0.0887810622342439 0.56369068375367
"11" 144 1.28494299484551 2.0392602311037
"12" 162 1.61205130110142 -0.797526451444556
"13" 131 0.284305763336889 -0.963003840964822
"14" 22 -0.690952237097519 -4.28012639261262
"15" 195 2.01636763250766 -0.189081723328621
"16" 9 -1.59823690848419 2.58277907596075
"17" 163 2.35152515338032 -1.51524108607269
"18" 88 -2.23686827813435 -0.0594676493712687
"19" 24 -0.284463616764188 -2.88559264031396
"20" 135 1.78005638234267 -2.1058306928446
"21" 51 0.227235191428141 -1.13785936850792
"22" 146 -2.79700022568028 -3.9030800840237
"23" 124 -0.285795038390042 2.6468984294263
"24" 76 -3.04243907629872 -3.61032222303604
"25" 168 -1.87331206376903 0.244479399366001
"26" 52 0.561403512158829 0.971881518971028
"27" 97 -1.71054470617464 -0.553894664983225
"28" 43 -0.866528714823663 0.0362907439998427
"29" 100 1.61636353964544 -4.51951917403002
"30" 65 -1.09385832587929 3.31103840262852
"31" 69 -2.006880325559 -2.11208484219358
"32" 120 -0.29543685858688 0.221453389519709
"33" 99 -1.61429205387887 -5.1260354307133
"34" 190 -0.85412048271088 -0.707828603191618
"35" 100 1.11119442851353 -6.39988237288995
"36" 137 2.22713339994806 -1.92199391920378
"37" 58 -2.72059154502715 -4.17675697413477
"38" 143 1.37076592928311 3.20968395160292
"39" 85 1.25370228248526 1.47515198395102
"40" 21 -0.580537266133836 -0.693547201874633
"41" 179 -4.06911012144393 -5.52740738238352
"42" 124 0.690815401510471 1.64122212700902
"43" 105 0.826019846089508 -1.62528227732495
"44" 21 -0.881287400149116 1.95924321425608
"45" 104 2.81465853187052 0.0275262026114236
"46" 127 1.01007512798566 5.40877738898025
"47" 123 2.48139091116657 -3.0676400298853
"48" 198 0.336257500760359 -1.44707157335122
"49" 102 -2.10415154117843 -5.71690344273498
"50" 167 -1.26435868207841 1.32051839534212
"51" 77 -0.545122040963265 -1.2708678800937
"52" 70 -1.12301254715172 -2.34110233126779
"53" 78 0.146120071928696 0.504303193172341
"54" 52 2.54638675295166 -0.160315654378771
"55" 179 -1.09288986923093 -1.31881879677323
"56" 81 -0.891702064201375 -4.5707502726154
"57" 57 -0.274180858303746 -1.06436691795518
"58" 110 0.95886328690449 0.581808723689685
"59" 128 1.9665389016742 -0.609140237685838
"60" 61 1.17191410750538 -0.914016917193505
"61" 111 -3.02722028495593 -0.949460306024681
"62" 93 -1.3037298489467 -0.0538493896037707
"63" 38 -0.0920797586685313 -0.216105830945491
"64" 197 1.4872038177694 4.43857186991887
"65" 107 -0.399614585320216 1.31205975577845
"66" 8 -2.61898027985882 0.413818767794615
"67" 91 -1.47360083242351 0.454110236693988
"68" 137 -0.0046629713672202 -2.78861928447931
"69" 123 0.482337598441965 2.71872602454143
