"x" "y" "temp" "sales" "central" "optional"
"1" 518262.16 5035026.6 31.0018119338788 794.79 FALSE TRUE
"2" 514396.99 5031431.09 31.1000249826429 797.87 FALSE TRUE
"3" 511071.15 5037453.56 28.4295014456263 730.82 FALSE TRUE
"4" 510801.49 5030622.1 29.0004626256503 744.84 FALSE TRUE
"5" 515925.08 5031251.31 32.1940501315213 824.8 FALSE TRUE
"6" 517543.06 5033138.96 29.114746832537 747.97 FALSE TRUE
"7" 516734.07 5031880.53 28.184522182039 754.24 TRUE TRUE
"8" 514127.33 5031700.75 30.19771536696 775.08 FALSE TRUE
"9" 514936.32 5034037.83 28.4530154786472 731.65 FALSE TRUE
"10" 516194.75 5034487.27 29.5162474747168 758.24 FALSE TRUE
"11" 512329.58 5031161.43 29.6952545317757 762.46 FALSE TRUE
"12" 514486.88 5033678.28 32.9690015304226 844.01 FALSE TRUE
"13" 516823.96 5037363.67 25.7439760185509 663.69 FALSE TRUE
"14" 515655.42 5035386.15 32.0611011072635 821.78 FALSE TRUE
"15" 517992.5 5036015.36 31.5761003527381 809.45 FALSE TRUE
"16" 513588 5034397.38 31.9320777063858 818.07 FALSE TRUE
"17" 517902.61 5036105.25 26.544768982383 683.79 FALSE TRUE
"18" 515475.64 5034307.49 28.7683008977051 769.63 TRUE TRUE
"19" 513048.68 5030891.76 30.2943483830559 777.39 FALSE TRUE
"20" 511430.7 5036374.91 29.1416968461295 748.64 FALSE TRUE
"21" 517093.62 5033498.51 30.8174405606658 790.3 FALSE TRUE
"22" 514666.66 5031341.2 30.2378127155295 776.24 FALSE TRUE
"23" 515835.2 5031341.2 31.1279829018643 798.15 FALSE TRUE
"24" 511071.15 5034307.49 28.328217801006 728.15 FALSE TRUE
"25" 512689.13 5035655.81 31.1448381731042 798.36 FALSE TRUE
"26" 517183.51 5036824.35 28.1621979095458 724.05 FALSE TRUE
"27" 517183.51 5037903 28.2841711727045 726.98 FALSE TRUE
"28" 512868.9 5037903 26.9018043590104 692.62 FALSE TRUE
"29" 515475.64 5036464.8 31.734607198182 813.41 FALSE TRUE
"30" 518621.71 5032419.85 34.3182439730369 877.76 FALSE TRUE
"31" 511161.04 5031880.53 29.0864186518937 747.4 FALSE TRUE
"32" 518352.05 5033678.28 27.6622404778536 711.84 FALSE TRUE
"33" 517363.29 5037094.01 31.4492482937096 806.39 FALSE TRUE
"34" 512239.69 5032779.4 29.0991231356895 747.39 FALSE TRUE
