"Views" "Premium_account" "Laptop_time" "Phone_time" "Social_connections" "Fitness_level" "Language"
"1" 70.4166304838373 "1" 1.06 3.26 19.1 "0" "English"
"2" 68.6381808381006 "1" 1.39 2.48 19.95 "0" "English"
"3" 85.9808325329488 "1" 2.76 2.45 20.73 "1" "English"
"4" 74.9609369890614 "1" 1.9 2.83 19.06 "1" "English"
"5" 72.0401765518905 "0" 2.51 2.7 19.12 "0" "English"
"6" 78.0326105428159 "1" 4.21 2.58 19.87 "0" "English"
"7" 71.005639279344 "0" 1.82 3.71 20.48 "0" "English"
"8" 73.8505889738932 "1" 2.66 3.05 20.98 "0" "English"
"9" 80.2128660579588 "1" 4.78 3.09 20 "0" "English"
"10" 74.8050963749198 "0" 3.05 4.02 19.01 "0" "English"
"11" 71.3695719773323 "1" 1.92 2.69 19.65 "0" "English"
"12" 73.2761736358052 "1" 3.11 3.04 20.07 "0" "English"
"13" 74.9246497870008 "1" 0.23 2.66 20.53 "1" "English"
"14" 72.5674345346528 "0" 2.5 2.74 20.32 "0" "English"
"15" 80.0879528370208 "1" 3.34 2.72 20.52 "1" "English"
"16" 68.0821144939333 "1" 0.75 3.21 19.17 "0" "English"
"17" 73.7650181352192 "1" 2.59 3.25 20.06 "0" "English"
"18" 70.7208068116243 "0" 1.97 3.01 19.26 "0" "English"
"19" 70.5001810608466 "0" 2.45 3.33 21.18 "0" "English"
"20" 76.011073737129 "1" 3.57 2.51 20.33 "0" "English"
"21" 72.0509004577207 "1" 2.28 3.26 20.26 "0" "English"
"22" 74.5651362328742 "1" 2.68 2.96 19.98 "0" "English"
"23" 74.9116286330948 "1" 3.11 3.1 22.25 "0" "English"
"24" 69.9244782287186 "0" 2.14 3.13 20.81 "0" "English"
"25" 72.6110850484567 "1" 2.55 3.52 19.8 "0" "English"
"26" 74.6575065902921 "0" 3 2.77 18.36 "0" "English"
"27" 76.0277283530469 "1" 3.11 3.26 20.62 "0" "English"
"28" 70.5158007516306 "1" 1.62 3.12 20.74 "0" "English"
"29" 73.7426291427038 "1" 3.66 2.13 19.81 "0" "English"
"30" 69.3012223460451 "0" 1.94 2.93 19.04 "0" "English"
"31" 71.8305768237196 "0" 2.77 2.89 19.23 "0" "English"
"32" 73.7128801406417 "0" 3.06 3.28 19.98 "0" "English"
"33" 70.7028145165995 "1" 1.98 2.38 20.22 "0" "English"
"34" 67.1116403096171 "0" 1.13 2.98 18.92 "0" "English"
"35" 76.312613244685 "0" 3.39 3.78 20.26 "0" "English"
"36" 66.4615630853051 "0" 1.03 3.17 21.27 "0" "English"
"37" 77.2759783530556 "1" 0.48 3.48 20.46 "1" "English"
"38" 73.7131787387589 "0" 3.64 2.84 20.76 "0" "English"
"39" 73.2825769025407 "1" 2.74 2.65 20.45 "0" "English"
"40" 77.1142647334484 "1" 3.2 3.3 19.05 "0" "English"
"41" 71.3958671173678 "0" 2.77 2.42 19.96 "0" "English"
"42" 80.4371626502404 "1" 3.5 3.09 19.71 "1" "English"
"43" 68.8662863198579 "1" 1.44 2.21 20.23 "0" "English"
"44" 72.155124494829 "1" 2.11 3.63 19.01 "0" "English"
"45" 70.6822742420099 "0" 2.49 2.54 19.98 "0" "English"
"46" 70.3711735329049 "1" 1.94 2.46 20.74 "0" "English"
"47" 68.2439153348885 "0" 2.38 2.34 20.65 "0" "English"
"48" 71.8385025457886 "1" 2.77 2.18 21.1 "0" "English"
"49" 82.0859973048891 "1" 3.39 3.76 19.21 "1" "English"
"50" 69.2123894644719 "1" 1.86 2.89 20.47 "0" "English"
"51" 76.1349923789739 "1" 3.54 2.61 20.32 "0" "English"
"52" 70.2962563859663 "1" 1.12 2.89 17.93 "0" "English"
"53" 75.438841804251 "1" 3.17 2.5 19.26 "0" "English"
"54" 75.5473657848819 "1" 3.41 3.27 19.93 "0" "English"
"55" 68.2665885447673 "0" 1.45 3.81 20.36 "0" "English"
"56" 67.8604752543027 "0" 1.61 2.4 20.85 "0" "English"
"57" 79.8387934896584 "1" 1.78 2.36 18.42 "1" "English"
"58" 66.4005400949127 "1" 0.33 2.91 19.85 "0" "English"
"59" 70.6524865203266 "0" 2.7 2.89 20.14 "0" "English"
"60" 72.0812678229546 "0" 2.98 3.08 20.07 "0" "English"
"61" 71.4824050675846 "1" 1.54 2.39 19.87 "0" "English"
